time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,traction_command,service_brake_request
36.9,4.46550744641594,0,357848.643318554,75973.2881719527,4026.81242881194,-357848.643318554,703.960577220007,0.438500882642724,29733.6296567955,2955.74486043288,0,1
37,4.36743688605991,0,350473.994149202,75973.386682667,4026.71182804732,-350473.994149202,704.375505393495,0.439544379639894,29768.6911559004,2991.160406348,0,1
37.1,4.26937469774346,0,343099.988284875,75973.4831648008,4026.61331733297,-343099.988284875,704.78181760574,0.44056680433509,29803.044625659,3025.86789077975,0,1
37.2,4.17132069485176,0,335726.612395696,75973.5776521877,4026.51683519919,-335726.612395696,705.179529494645,0.441568158604088,29836.6901290974,3059.8673773782,0,1
37.3,4.0732746908651,0,328353.853093451,75973.670163588,4026.42234781227,-328353.853093451,705.568656332993,0.442548444284902,29869.6277279727,3093.15892853504,0,1
37.4,3.97523649934269,0,320981.696960871,75973.7607095389,4026.32983641198,-320981.696960871,705.949213031205,0.443507663177461,29901.8574827627,3125.7426053677,0,1
37.5,3.8772059339132,0,313610.1305672,75973.8492960899,4026.23929046106,-313610.1305672,706.321214140088,0.444445817043442,29933.3794526597,3157.61846771118,0,1
37.6,3.77918280826896,0,306239.140476443,75973.9359268379,4026.15070391007,-306239.140476443,706.684673853526,0.445362907606188,29964.1936955679,3188.78657411379,0,1
37.7,3.68116693616208,0,298868.713251698,75974.0206040366,4026.06407316214,-298868.713251698,707.039606011129,0.446258936550665,29994.3002681023,3219.24698183514,0,1
37.8,3.58315813140182,0,291498.835457425,75974.1033292011,4025.97939596344,-291498.835457425,707.386024100798,0.447133905523455,30023.6992255881,3248.99974684523,0,1
37.9,3.4851562078524,0,284129.493660595,75974.1841034371,4025.89667079893,-284129.493660595,707.723941261236,0.447987816132746,30052.3906220603,3278.04492382418,0,1
38,3.3871609794312,0,276760.67443127,75974.2629276204,4025.81589656294,-276760.67443127,708.05337028438,0.448820669948338,30080.3745102642,3306.38256616222,0,1
38.1,3.28917226010715,0,269392.364342849,75974.3398024949,4025.7370723796,-269392.364342849,708.374323617765,0.449632468501654,30107.6509416556,3334.01272595989,0,1
38.2,3.1911898638992,0,262024.549972169,75974.4147287255,4025.66019750515,-262024.549972169,708.686813366819,0.450423213285744,30134.219966401,3360.9354540283,0,1
38.3,3.09321360487484,0,254657.217899503,75974.4877069279,4025.58527127447,-254657.217899503,708.990851297085,0.451192905755295,30160.0816333779,3387.15079988945,0,1
38.4,2.99524329714862,0,247290.354708518,75974.5587376836,4025.51229307207,-247290.354708518,709.286448836378,0.451941547326644,30185.2359901752,3412.65881177657,0,1
38.5,2.89727875488078,0,239923.946986208,75974.6278215492,4025.44126231635,-239923.946986208,709.573617076875,0.452669139377785,30209.6830830936,3437.45953663441,0,1
38.6,2.79931979227578,0,232557.981322815,75974.6949590606,4025.37217845081,-232557.981322815,709.85236677713,0.453375683248381,30233.4229571456,3461.5530201196,0,1
